repo_name	small_path	small_size	medium_path	medium_size	download_status
1000genome-workflow	data/1000genome-workflow/small	8.2G	data/1000genome-workflow/medium	37G	SUCCESS
PyFLEXTRKR	data/PyFLEXTRKR/small	3.1G	data/PyFLEXTRKR/medium	374M	SUCCESS
DeepDriveMD-pipeline	data/DeepDriveMD-pipeline/small	19M	data/DeepDriveMD-pipeline/medium	20M	SUCCESS
Montage	data/Montage/small	2.1M	data/Montage/medium	33M	SUCCESS
biobb_wf_md_setup	data/biobb_wf_md_setup/small	116K	data/biobb_wf_md_setup/medium	3.7M	SUCCESS
nf-core_rnaseq	data/nf-core_rnaseq/small	26M	data/nf-core_rnaseq/medium	72M	SUCCESS
nf-core_sarek	data/nf-core_sarek/small	32M	data/nf-core_sarek/medium	94M	SUCCESS
nf-core_eager	data/nf-core_eager/small	2.0M	data/nf-core_eager/medium	5.9M	SUCCESS
nf-core_viralrecon	data/nf-core_viralrecon/small	52M	data/nf-core_viralrecon/medium	76M	SUCCESS
nf-core_chipseq	data/nf-core_chipseq/small	80M	data/nf-core_chipseq/medium	193M	SUCCESS
nf-core_atacseq	data/nf-core_atacseq/small	64M	data/nf-core_atacseq/medium	146M	SUCCESS
nf-core_mag	data/nf-core_mag/small	44M	data/nf-core_mag/medium	64M	SUCCESS
nf-core_ampliseq	data/nf-core_ampliseq/small	2.5M	data/nf-core_ampliseq/medium	7.4M	SUCCESS
rna-seq-star-deseq2	data/rna-seq-star-deseq2/small	17M	data/rna-seq-star-deseq2/medium	16K	SUCCESS
dna-seq-gatk-variant-calling	data/dna-seq-gatk-variant-calling/small	8.1M	data/dna-seq-gatk-variant-calling/medium	16K	SUCCESS
dna-seq-varlociraptor	data/dna-seq-varlociraptor/small	13M	data/dna-seq-varlociraptor/medium	20K	SUCCESS
chipseq	data/chipseq/small	22M	data/chipseq/medium	26M	SUCCESS
metaGEM	data/metaGEM/small	1.8G	data/metaGEM/medium	4.0K	SUCCESS
V-pipe	data/V-pipe/small	5.9M	data/V-pipe/medium	8.7M	SUCCESS
iwc	data/iwc/small	16M	data/iwc/medium	56K	SUCCESS
